"A","AAAA","A__ip_address","A__country_code","A__asn_date","A__reg_timestamp","A__last_updated","AAAA__ip_address","AAAA__country_code","AAAA__asn_date","AAAA__reg_timestamp","AAAA__last_updated","MX","NS","SOA","MX__001","MX__002","MX__003","MX__004","MX__005","MX__006","MX__007","NS__001","NS__002","NS__003","NS__004","NS__005","NS__006","NS__007","NS__008","NS__009","NS__010","NS__011","NS__012","NS__013","SOA__-","CNAME","TXT","TXT__001","TXT__002","TXT__003","TXT__004","TXT__005","TXT__006","TXT__007","TXT__008","TXT__009","TXT__010","TXT__011","TXT__012","TXT__013","TXT__014","TXT__015","TXT__016","TXT__017","TXT__018","SRV","PTR","domain_name"
"","","172.217.31.206","US","2012-04-16","2012-04-16T11:24:30-04:00","2012-04-16T11:24:30-04:00","2404:6800:4009:831::200e","AU","2008-09-30","2008-09-30T00:48:27Z","2020-05-26T18:20:48Z","","","","10 smtp.google.com.","","","","","","","ns4.google.com.","ns3.google.com.","ns1.google.com.","ns2.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""apple-domain-verification=30afIBcvSuDV2PLX""","""webexdomainverification.8YX6G=6e6922db-e3e6-4a36-904e-a805c28087fa""","""facebook-domain-verification=22rm551cu4k0ab0bxsw536tlds4h95""","""docusign=05958488-4752-4ef2-95eb-aa7ba8a3bd0e""","""globalsign-smime-dv=CDYX+XFHUw2wml6/Gb8+59BsH31KzUr6c1l2BPvqKX8=""","""google-site-verification=wD8N7i1JTNTkezJ49swvWW48f8_9xveREV4oB-0Hf5o""","""atlassian-domain-verification=5YjTmWmjI92ewqkx2oXmBaD60Td9zWon9r6eakvHX6B77zzkFQto8PQ9QsKnbf4I""","""MS=E4A68B9AB2BB9670BCE15412F62916164C0B20BB""","""v=spf1 include:_spf.google.com ~all""","""onetrust-domain-verification=de01ed21f2fa4d8781cbc3ffb89cf4ef""","""google-site-verification=TV9-DBe4R80X4v0M4U_bd_J9cpOJM0nikft0jAgjmsQ""","""docusign=1b0a6754-49b1-4db5-8540-d2c12664b289""","","","","","","","null","null","google.com"
"","","157.240.1.35","US","2015-05-14","2021-12-14T20:28:52-05:00","2015-05-14T15:30:19-04:00","2a03:2880:f16b:81:face:b00c:0:25de","IE","2011-08-22","2015-09-24T12:59:37Z","2022-10-29T00:51:39Z","","","","10 smtpin.vvv.facebook.com.","","","","","","","c.ns.facebook.com.","d.ns.facebook.com.","b.ns.facebook.com.","a.ns.facebook.com.","","","","","","","","","","a.ns.facebook.com. dns.facebook.com. 3758941013 14400 1800 604800 300","null","","""zoom-domain-verification=a6c90d61-66ec-485c-9f3d-cce7036f01bb""","""v=spf1 redirect=_spf.facebook.com""","""google-site-verification=wdH5DTJTc9AYNwVunSVFeK0hYDGUIEOGb-RReU6pJlY""","""google-site-verification=sK6uY9x7eaMoEMfn3OILqwTFYgaNp4llmguKI-C3_iA""","""google-site-verification=A2WZWCNQHrGV_TWwKh6KHY90tY0SHZo_RnyMJoDaG0s""","","","","","","","","","","","","","","null","null","facebook.com"
"","","142.250.182.46","US","2012-05-24","2012-05-24T11:40:55-04:00","2012-05-24T11:40:55-04:00","2404:6800:4007:81a::200e","AU","2008-09-30","2008-09-30T00:48:27Z","2020-05-26T18:20:48Z","","","","40 alt3.aspmx.l.google.com.","10 aspmx.l.google.com.","50 alt4.aspmx.l.google.com.","30 alt2.aspmx.l.google.com.","20 alt1.aspmx.l.google.com.","","","ns2.google.com.","ns1.google.com.","ns3.google.com.","ns4.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""google-site-verification:bqEukzgde2Z8kr2wk5OKZNrYrefPAHaoLYBFsi1ShK8""","""spf2.0/pra ?all""","""v=spf1 mx ?all""","","","","","","","","","","","","","","","","null","null","doubleclick.net"
"","","142.250.183.164","US","2012-05-24","2012-05-24T11:40:55-04:00","2012-05-24T11:40:55-04:00","2404:6800:4009:825::2004","AU","2008-09-30","2008-09-30T00:48:27Z","2020-05-26T18:20:48Z","null","","","","","","","","","","ns2.google.com.","ns4.google.com.","ns1.google.com.","ns3.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""v=spf1 -all""","","","","","","","","","","","","","","","","","","null","null","google-analytics.com"
"null","null","","","","","","","","","","","","","","100 mx0b-00190b01.pphosted.com.","100 mx0a-00190b01.pphosted.com.","","","","","","ax2.akamaistream.net.","ax0.akamaistream.net.","ns6-32.akamaistream.net.","ax3.akamaistream.net.","p7.akamaistream.net.","p5.akamaistream.net.","ax1.akamaistream.net.","p8.akamaistream.net.","p6.akamaistream.net.","ns2-32.akamaistream.net.","ns3-32.akamaistream.net.","p4.akamaistream.net.","","internal.akamaistream.net. hostmaster.akamai.com. 1585230000 90000 90000 90000 180","null","","""$Revision:"" ""#939"" ""$""","","","","","","","","","","","","","","","","","","null","null","akamaihd.net"
"","","142.250.183.132","US","2012-05-24","2012-05-24T11:40:55-04:00","2012-05-24T11:40:55-04:00","2404:6800:4009:824::2004","AU","2008-09-30","2008-09-30T00:48:27Z","2020-05-26T18:20:48Z","","","","0 smtp.google.com.","","","","","","","ns1.google.com.","ns4.google.com.","ns2.google.com.","ns3.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""v=spf1 include:_spf.google.com ?all""","","","","","","","","","","","","","","","","","","null","null","googlesyndication.com"
"","","142.250.196.4","US","2012-05-24","2012-05-24T11:40:55-04:00","2012-05-24T11:40:55-04:00","2404:6800:4009:830::2004","AU","2008-09-30","2008-09-30T00:48:27Z","2020-05-26T18:20:48Z","null","","","","","","","","","","ns2.google.com.","ns1.google.com.","ns3.google.com.","ns4.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""MS=ms95694125""","""MS=ms62662176""","""v=spf1 -all""","","","","","","","","","","","","","","","","null","null","googleapis.com"
"","null","172.217.163.194","US","2012-04-16","2012-04-16T11:24:30-04:00","2012-04-16T11:24:30-04:00","","","","","","","","","0 smtp.google.com.","","","","","","","ns2.google.com.","ns3.google.com.","ns4.google.com.","ns1.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""v=spf1 include:_spf.google.com ~all""","","","","","","","","","","","","","","","","","","null","null","googleadservices.com"
"null","null","","","","","","","","","","","null","","","","","","","","","","c.ns.facebook.com.","b.ns.facebook.com.","d.ns.facebook.com.","a.ns.facebook.com.","","","","","","","","","","a.ns.facebook.com. dns.facebook.com. 3758941013 14400 1800 604800 300","null","","""v=spf1 ip4:69.63.179.25 ip4:69.63.178.128/25 ip4:69.63.184.0/25 ip4:66.220.144.128/25 ip4:66.220.155.0/24 mx -all""","","","","","","","","","","","","","","","","","","null","null","facebook.net"
"","","142.250.192.46","US","2012-05-24","2012-05-24T11:40:55-04:00","2012-05-24T11:40:55-04:00","2404:6800:4009:828::200e","AU","2008-09-30","2008-09-30T00:48:27Z","2020-05-26T18:20:48Z","","","","0 smtp.google.com.","","","","","","","ns2.google.com.","ns1.google.com.","ns4.google.com.","ns3.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""facebook-domain-verification=64jdes7le4h7e7lfpi22rijygx58j1""","""google-site-verification=QtQWEwHWM8tHiJ4s-jJWzEQrD_fF3luPnpzNDH-Nw-w""","""v=spf1 include:google.com mx -all""","","","","","","","","","","","","","","","","null","null","youtube.com"
