A,AAAA,A__ip_address,A__country_code,A__asn_date,A__reg_timestamp,A__last_updated,AAAA__ip_address,AAAA__country_code,AAAA__asn_date,AAAA__reg_timestamp,AAAA__last_updated,MX,NS,SOA,MX__001,MX__002,MX__003,MX__004,MX__005,MX__006,MX__007,MX__008,NS__001,NS__002,NS__003,NS__004,NS__005,NS__006,NS__007,NS__008,NS__009,NS__010,NS__011,NS__012,NS__013,NS__014,NS__015,SOA__-,CNAME,TXT,TXT__001,TXT__002,TXT__003,TXT__004,TXT__005,TXT__006,TXT__007,TXT__008,TXT__009,TXT__010,TXT__011,TXT__012,TXT__013,TXT__014,TXT__015,TXT__016,TXT__017,TXT__018,TXT__019,TXT__020,TXT__021,SRV,PTR,domain_name
,,207.244.67.214,US,1996-11-15,1997-09-12T05:41:53-04:00,1997-09-12T00:00:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adblock.gjtech.net
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spam404bl.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hufilter.hu
,,,,,,,,,,,,,,,20 cluster4a.eu.messagelabs.com.,10 cluster4.eu.messagelabs.com.,,,,,,,ns2.altibox.net.,ns1.altibox.net.,ns3.altibox.net.,,,,,,,,,,,,,ns1.altibox.net. root.lyse.net. 2020121402 28800 7200 2419200 3600,,,"""v=spf1 include:_spfsoft.services.altibox.net ~all""",,,,,,,,,,,,,,,,,,,,,,,fredfiber.no
,,34.205.242.146,US,2016-09-12,2016-09-12T15:01:56-04:00,2016-09-12T15:01:56-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,securemecca.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1hos.cf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1hosts.cf
,,64.190.63.111,DE,2002-05-31,2020-10-21T11:07:24Z,2023-01-24T09:53:13Z,,,,,,,,,0 localhost.,,,,,,,,ns2.sedoparking.com.,ns1.sedoparking.com.,,,,,,,,,,,,,,ns1.sedoparking.com. hostmaster.sedo.de. 2018051601 86400 10800 604800 86400,,,"""v=spf1 -all""",,,,,,,,,,,,,,,,,,,,,,,everythingisnt.com
,,162.213.255.18,US,2013-06-17,2015-03-24T17:42:06-04:00,2013-06-17T19:20:22-04:00,,,,,,,,,10 mx1-hosting.jellyfish.systems.,20 mx2-hosting.jellyfish.systems.,30 mx3-hosting.jellyfish.systems.,,,,,,rs35.registrar-servers.com.,rs135.registrar-servers.com.,,,,,,,,,,,,,,rs35.registrar-servers.com. cpanelnotifications.spamcollection.namecheaphosting.com. 2021011902 86400 7200 3600000 86400,,,"""MAl2aW4tcGxhc3Rpa3MuY29tLgo=""","""v=spf1 +mx +a +ip4:162.213.255.19 ~all""",,,,,,,,,,,,,,,,,,,,,,vin-plastiks.com
,,37.140.192.36,RU,2012-02-29,2012-04-27T12:50:37Z,2022-03-21T10:43:44Z,2a00:f940:2:2:1:1:0:63,RU,2012-05-11,2012-06-13T04:48:25Z,2022-02-16T11:49:13Z,,,,10 mx1.hosting.reg.ru.,20 mx2.hosting.reg.ru.,,,,,,,ns1.hosting.reg.ru.,ns2.hosting.reg.ru.,,,,,,,,,,,,,,server63.hosting.reg.ru. support.reg.ru. 2021062011 3600 3600 604800 86400,,,"""v=spf1 ip4:37.140.192.36 a mx include:_spf.hosting.reg.ru ~all""",,,,,,,,,,,,,,,,,,,,,,,adblock-listefr.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intr0.cf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,njabl.org
